^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,pt_BR
 language,1234,0,0,0,DELETED,  null  ,-1,,  Servo-Croata   
 language,1235,0,0,0,DELETED,  null  ,-1,,  Espanhol   
 language,1236,0,0,0,DELETED,  null  ,-1,,  Swahili   
 language,1237,0,0,0,DELETED,  null  ,-1,,  Sueco   
 language,1238,0,0,0,DELETED,  null  ,-1,,  Tagalo (Filipinas)   
 language,1239,0,0,0,DELETED,  null  ,-1,,  TÃƒ?Ã‚Â¢mil (Sri Lanka)   
 language,1240,0,0,0,DELETED,  null  ,-1,,  TÃƒ?Ã‚Â¢mil (Ãƒ?Ã‚Â?ndia)   
 language,1241,0,0,0,DELETED,  null  ,-1,,  Telugu   
 language,1242,0,0,0,DELETED,  null  ,-1,,  TailandÃƒ?Ã‚Âªs   
 language,1243,0,0,0,DELETED,  null  ,-1,,  Turco   
 language,1244,0,0,0,DELETED,  null  ,-1,,  Twi (Gana)   
 language,1245,0,0,0,DELETED,  null  ,-1,,  Ucraniano   
 language,1246,0,0,0,DELETED,  null  ,-1,,  Urdu (PaquistÃƒ?Ã‚Â£o)   
 language,1247,0,0,0,DELETED,  null  ,-1,,  Vietnamita   
 language,1248,0,0,0,DELETED,  null  ,-1,,  GalÃƒ?Ã‚Âªs   
 language,1513,0,0,0,DELETED,  null  ,-1,,  Punjabi   
