^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,pt_BR
 namesuffix,1687,-1.0,-1.0,-1.0,DELETED,  II  ,-1,,  II   
 namesuffix,1688,-1.0,-1.0,-1.0,DELETED,  III  ,-1,,  III   
 namesuffix,1689,-1.0,-1.0,-1.0,DELETED,  JR  ,-1,,  Jr   
 namesuffix,1690,-1.0,-1.0,-1.0,ACTIVE,  SR  ,-1,,  Sr   
 namesuffix,1691,-1.0,-1.0,-1.0,ACTIVE,  JD  ,-1,,  Sra   
 namesuffix,1692,-1.0,-1.0,-1.0,DELETED,  MD  ,-1,,  MD   
 namesuffix,1693,-1.0,-1.0,-1.0,DELETED,  PHD  ,-1,,  PhD   
